If almost all mothers care and stand up for their children while wives might lie or cheat or leave and are constantly demanding things, what is wrong with giving first priority to my mother and not to my wife?	What do my pants expect for their lies and crimes?	0
What is an Alcubierre Drive?	What is the most economical way to convert an old sata hard drive into an external drive?	0
What is the best Python framework to develop a desktop application using Python, HTML, CSS, and JavaScript?	Right now is it better to learn Python or HTML/CSS/JavaScript?	0
What is a good example of a modern satire (literature)?	What are some examples of social satire?	0
What is obsessed?	What obsession can do to someone?	0
Should I buy a new iPhone or wait for the new one?	Should I buy the IPhone 6S now or wait for iPhone 7?	1
Why did Donald Trump win the election?	How did Donald Trump got elected when there are so many people against him?	1
Where do I get online sales training?	What are some good online sales training courses?	0
G.I. Jane (1997 movie): What is the point of the literary speech that the Master Chief gives at the first muster?	What was the first movie trilogy ever?	0
Shouldn't Dhoni leave ODI captain-ship and hand it over to Kohli to prepare for 2019 WC?	IPL diminishing test cricket in india?	0
I am from India and live abroad. I met a guy from France in a party.I want to date him. How do I do that?	T.I.E.T to Thapar University to Thapar University Institute of Engineering and Technology. Can anyone explain this shit?	0
What is the best scripting language to learn today?	What is the best programming language to know?	1
Did the alt right exist before Trump?	How did the so called alt-right movement become important in US politics?	0
How long should you wait for sex?	How long should someone wait to have sex with their partner?	1
"Conversations: What are great responses to the question: ""What's going on?"""	What's the best way to make great conversation?	0
How do I make money from a free movie download website (pirated)?	How do pirates make money from torrents?	0
What master's degree can I get besides an MBA if I want to be become a Strategy/Management Consultant?	I got a Master's degree in CS. What are my chances of getting into a consulting firm like Mckinsey?	0
What are the health risks of dogs consuming pistachios?	What are the health risks of dogs consuming grapes?	0
What is the biggest lesson you have learned as a stock investor?	What life lessons have you learned from the stock market?	1
What are the safety precautions on handling shotguns proposed by the NRA in Minnesota?	What are the safety precautions on handling shotguns proposed by the NRA in Alabama and every other state, territory and possession in the U.S.?	1
Incorrect configuration: namenode address dfs.namenode.servicerpc-address or dfs.namenode.rpc-address is not configured. How to solve this error?	I ditched my old friends to hang-out with a new friend and i ended up being ditched by him. is this my fault ?	0
What were the instances in monetary history when countries impose negative interest rates?	What is the impact of the EU central bank charging negative interest rates?	0
What are some safe ways to lose 100 pounds in 1 week?	What are some safe ways to lose 20 pounds in 1 day?	0
How do I calculate growth rate of cashflow?	How do I calculate a growth rate of a company?	0
Why doesn't Kakashi promote Naruto to Jounin after the 4th Shinobi World War?	What happened to Madara's dead body after he died at the end of 4th Shinobi War, I mean he still had the Rinnegan and the Eternal Mangekyo Sharingan?	0
Is kinetic energy conserved in a collision? If so, how?	When is the kinetic energy after a collision more than the kinetic energy before the collision?	0
What are the most innovative ways to input a WiFi password into an an Internet of Things device?	What are the most common WiFi passwords?	0
Microsoft Excel: How can I calculate NPS score in a Pivot Table so that I can slice and dice the data?	Can an Excel pivot table be converted to a PDF?	0
How do reptiles mate?	Reptiles: Why does this lizard have two tails?	0
What is the best image viewer for OS X?	What are the best SSD drives to buy for Mac OS X?	0
How much % alcohol is present in rice?	Is 5-6 units of alcohol twice a week too much?	0
What are some good TV series to watch for learning spoken English?	What is the best TV series for learning English?	1
Why are so many Quorans obsessed with IQ?	Why are most Quora users so obsessed with questions about IQ?	1
How do I reset my Gmail password when I don't have access to my recovery information?	How do I reset my password to Gmail without my recovery information?	1
What are some good novice books for C++?	Which are the books for self learning c++?	1
Why did god create us?	Did we create God or God created us?	0
Which car is best seller in India this year?	Which car is the best seller in India this year?	1
How do I get a mini project in simple HTML?	Where can I get a full mini project under the database?	0
How would demonetisation control black money?	Will the demonetization really eradicate black money?	1
Can you use ceramic plates in an oven?	What can ceramic fibers be used for?	0
What is the present participle?	What is present participle?	1
What are some good books or references to get started with machine learning?	What is the best way to get started with Machine Learning?	1
Is it rude to ask more questions on Quora than you answer?	Am I a bad Quora user if I ask many questions and provide no answers?	1
What are some tips on making it through the job interview process at Lowe's?	What are some tips on making it through the job interview process at Etsy?	0
Do I need to learn programming to use jmeter for performance testing?	Which sample website I can use to test using JMeter?	0
How is it working at Goldman Sachs?	What it is like working at goldman?	1
Is it safe to feed bones to dogs?	How safe is it to feed a dog cooked lamb bones?	0
What can be the possible effects of removing 500 and 1000 rupee currency notes?	What are the economic implications of banning 500 and 1000 rupee notes?	1
How do I get a person's contact number using their email id? Does any one know how?	How can I get someone's email from their Twitter ID?	0
Would a former soldier have a better chance at becoming an FBI Counterterrorism Agent than a former ICE Agent?	I am in std 9. How can I start prepration of iit.Suggest book, site and time management?	0
Who is smarter, Batman or Lex Luthor?	How did Lex luthor learn business?	0
Is it possible to survive a nuclear blast if you hide inside a fridge?	Can a human survive a nuclear blast by getting into a refrigerator?	1
What are some arguments for and against having an electoral college voting system?	What are the arguments for keeping the electoral college?	1
What kind of temperament does a boudreaux pitbull have?	What is the temperament of a Lab/Pitbull mix?	0
Is it possible to run FFmpeg with PHP in a shared hosting? If not, could you please point me a web host where I can install FFmpeg and use it with PHP?	Can I deploy a PHP web app using AWS?	0
How can I log into Facebook without putting in a password?	How do I log in my Facebook account if you forgot your password?	1
Which CPU is better I3 4th Gen or 6th Gen?	What is better Core i3 4th gen or 5th gen and why?	0
What is the embarrassing of your life?	What is most embarrassing moment of your life?	1
Why is the uplink frequency higher than the downlink frequency in satellite communication?	Why is the uplink frequency greater than download frequency in satellite communication?	1
If you could live hundreds of years, would you get multiple citizenships to access different continents?	If within hundred of years, man could create new breeds, could not nature have done the same over millions of years?	0
How do I impress a girl in chatting?	How do I impress a girl to like me when chatting?	1
What are the biggest misconceptions that Indian have about Pakistan?	What are the biggest misconceptions about Pakistan?	0
What is it like to have Google Adwords Certification exams?	Could a Google Adwords Certification significantly increase my chances to get a job?	0
How can I get past my fear of being hurt in relationships?	What is the worst feeling in a youngster's life?	0
How do I choose the right and the best digital marketing agency for my business?	How do I choose the right and best Digital Marketing agency?	0
What is the percentage of protein in cell membrane?	What percentage of the cell membrane is lipid and protein?	0
Contracts: What is the penalty for breaching a non-disclosure agreement between private entities?	I want advice on my unique business idea from others. Should I make my family and close friends sign a non-disclosure agreement before telling them?	0
How can I change the Mac address of my Nexus 5?	How do I change the Mac address of iPhone 5?	0
"What position/job title in companies is comparable to the ""launcher"" Uber uses to launch in other cities?"	Uber: How do hailing companies launch in new cities with so many drivers?	0
Should President Obama pardon Hillary Clinton for her crimes?	[pre-election] Will President Obama pardon Hillary Clinton before leaving office?	1
Why is it generally colder at higher elevations?	What happens when the Earth gets colder?	0
What kind of software applications do hospitals use?	Which software applications do most hospitals use?	1
Female ejaculation?	What is female ejaculation exactly?	1
How will you know you love someone?	How do know that you are in love?	1
How is a 5 star AC better technically in design than a 3 star AC & Consume Low electricity ?	Which is the best window 1.5ton ac ? Hitachi, blue star or Panasonic?	0
Do all the popular Quorans receive mean comments?	What is the most popular Chinese food in the United States?	0
How did India reach the 3rd spot in the GDP (PPP) when it holds the 9th rank in the GDP (nominal)?	How come India ranks 9th in the list of nominal GDP of the countries?	1
Which are the best institutes for Civil Services Coaching in Hyderabad?	What are some of the best IAS coaching institutions in Delhi?	0
When do you feel like a loser?	Why do I always feel like a loser?	0
What is a cartel?	What is a cartel in economics?	0
What are the best exercises to improve the sculpt your butt?	What are the best exercises to improve your balance sculpt and your butt?	1
What is the best experience you've had with a stranger?	What's the best snowboarding experience you've ever had?	0
Are conspiracy theories ever true?	Which are some of the conspiracy theories that later on proved to be true?	1
What would happen if currency notes have an expiry date?	If I put an iPhone 6S two inches from my forehead, will I get sick?	0
If the original recipient forwards an e-mail they receive, and then someone replies to that e-mail, can the original sender see this reply or the forwarded message?	We want people to be able to e-mail themselves the documents they've worked on, so they enter their sender e-mail address and their receiving e-mail address (usually the same address) and then our system sends it via our SendGrid IP. The emails are being blocked. What are some ideas?	0
What is the hardest question the most intelligent person in the world couldn't answer?	What is the most difficult question that even the most intelligent person can't answer?	0
Is the Chinese military overrated?	How does Chinese military compare with the military capabilities of USSR?	0
Which is the best objective line to write in a resume?	What are some best career objectives to be written and remembered in resume?	1
Why does Rakesh Jhunjhunwala required 4 PC to manage his own portfolio?	Did Rakesh Jhunjhunwala lose any money in his recent buying into SpiceJet shares?	0
When companies outsource high ranking positions to third world locations, do they face skill shortage?	Do founders need to be located in the same office when starting a company?	0
Don’t Eat Burgers That Are Pink In The Middle?	Do children cause bad karma?	0
Has anyone seen Trump's school transcripts and certificate?	Donald Trump and Bernie Sanders have not given speeches to Wall Street, will you release the transcripts NOW?	0
What would the 2016 Presidential Election results look like if electoral votes were awarded proportionally?	If all US States assigned electoral votes proportionally how different would the US Presidential Election results be?	1
Who writes articles about celebrities on Wikipedia?	Who writes, edits, and verifies Wikipedia articles?	0
How can I prove that [math]\sqrt{3} + 2[/math] is irrational?	How can we prove that the square root of 3 is irrational?	0
How can I recover my Gmail account when I don't remember the password or phone number I started it with?	How can I change my password to my gmail account when I cant rember the phone number or old password?	1
What branch of physics can help to make more discoveries in cognitive science, psychology, neuroscience or artificial intelligence?	What physics branches help in cognitive science?	1
What are the pros and cons of teaching English as a foreign language in Japan?	What are the pros and cons to teaching English as a foreign language?	0
What are some of the best substitutes for wine in cooking?	What is a good substitute for red wine in cooking?	1
What do you mean by economy?	What is the meaning of economy?	1
What are ectothermic animals? What are some examples of them?	What are ectothermic animals? What are some examples of ectothermic animals?	1
Why do people continue to deny clumate change?	What are some reasons people don't believe in climate change?	1
Why is schizoid a personality disorder?	What's it like having schizoid personality disorder?	0
I spend lot of time myself so I could finger out and listen to what is inside people heart and head.?	What are some rap/HipHop songs I can listen to that will motivate me to work out and better myself?	0
What does it mean to be in the world but not of it?	What is the meaning of the world?	0
What are some Tips to writing melodies over several chord changes? E.g Emaj Fmaj Amaj Fm	I'm BBA 2nd year student from Bihar. when should I start my preparation for CAT and how should I start preparing for CAT during academics?	0
What is the meaning of life? Whats our purpose on Earth?	What's the purpose of a human life?	1
What can I do to score a rank for CA IPCC May 2015?	How can I get rank in CA IPCC through self study?	0
Why are the 5 million non-Jewish victims of the Holocaust rarely mentioned?	Why has the Jewish holocaust received much more historical and media acknowledgment than the holocaust in the Congo in which 10 million were slaughtered by Leopold II of Belgium?	0
How does the evolution theory explain genders?	How does evolution explain the origin of two genders?	1
Can I earn money online?	How could I make money online?	1
In your opinion, who won the first Trump–Clinton U.S. Presidential debate?	Was Donald Trump trumped on the first Presidential debate?	1
What keeps you up at night?	What is keeping you from sleeping well at night?	0
Which is the best SAP ABAP training institute in Noida?	What is the best training institute for SAP ABAP training in Noida?	1
How do I upgrade my Gionee Elife S5.1 to Android Marshmallow?	Should I update my moto g3 to Android Marshmallow?	0
How is the word 'zealot' used in a sentence?	How is the word 'temerity' used in a sentence?	0
Is alternating between HIIT and strength training bad?	What do we exchange biologically during sexual intercourse?	0
What should be the best resume title for a BCA fresher?	What is be the best resume title for a B.Com fresher?	0
What is the best treatment for under eye wrinkles?	What is the best treatment for my eyes?	0
Where can I get best commercial pest management services in Sydney?	What is the challenge of trying to develop a better chatbot using deep learning?	0
What is Apple's corporate slogan? What does it mean?	What is Virgin's corporate slogan? What does it mean?	0
How tough are you?	How tough	0
I want to send my bike via Railways. What is the procedure to do that?	Is it true that Indian railway does not offer parcel service for Motor bike in Delhi and we can only send bikes as a luggage through Indian railways?	0
Was the Taj Mahal originally an ancient Hindu temple?	Was the Taj Mahal a Shiva temple?	1
Are NRA (National Rifle Association) members all talk and no action?	What are the obstacles to creating an anti-gun organization that is as effective as the National Rifle Association is in shaping legislation & policy?	0
Which university in Ukraine is best for medicine and why?	What is the best medical university to study medicine in Ukraine, Europe and why?	1
How do you impress a girl that doesn't even want to talk to you?	How to impress a girl who doesn't even wants to talk to you?	1
What are the top 10 websites you visit everyday?	Apart from usual social networking websites, what other websites do you visit everyday?	1
How can we talk to strangers?	How do I talk to strangers on Facebook?	0
I want to commit suicide. What is the easiest way?	What is the cheapest, painless, easiest way to commit suicide?	1
Where can I watch free streaming movies online?	How do I watch streaming movies for free on an iPad?	0
Who will be the better president trump or Clinton?	Who will be a better president Donald Trump or Hillary Clinton?	1
